,gameId,errors,personId,name,nameI,firstName,familyName,jerseyNum,assignment,gameDate
0,22200003,3,1151,Sean Corbin,S. Corbin,Sean,Corbin,33,,"October 19, 2022"
1,22200003,3,2714,David Guthrie,D. Guthrie,David,Guthrie,16,,"October 19, 2022"
2,22200003,3,1628159,Mousa Dagher,M. Dagher,Mousa,Dagher,28,,"October 19, 2022"
3,22200004,0,1162,Scott Foster,S. Foster,Scott,Foster,48,,"October 19, 2022"
4,22200004,0,201638,Brent Barnaky,B. Barnaky,Brent,Barnaky,36,,"October 19, 2022"
5,22200004,0,1628953,Ashley Moyer-Gleich,A. Moyer-Gleich,Ashley,Moyer-Gleich,13,,"October 19, 2022"
6,22200008,3,201639,Josh Tiven,J. Tiven,Josh,Tiven,58,,"October 19, 2022"
7,22200008,3,202026,Karl Lane,K. Lane,Karl,Lane,77,,"October 19, 2022"
8,22200008,3,1626300,Ray Acosta,R. Acosta,Ray,Acosta,54,,"October 19, 2022"
9,22200009,3,2534,Zach Zarba,Z. Zarba,Zach,Zarba,15,,"October 19, 2022"
10,22200009,3,200832,Curtis Blair,C. Blair,Curtis,Blair,74,,"October 19, 2022"
11,22200009,3,203592,Dedric Taylor,D. Taylor,Dedric,Taylor,21,,"October 19, 2022"
12,22200010,1,1830,Marc Davis,M. Davis,Marc,Davis,8,,"October 19, 2022"
13,22200010,1,2002,Derrick Collins,D. Collins,Derrick,Collins,11,,"October 19, 2022"
14,22200010,1,203591,Mitchell Ervin,M. Ervin,Mitchell,Ervin,27,,"October 19, 2022"
15,22200013,1,1204,Derek Richardson,D. Richardson,Derek,Richardson,63,,"October 19, 2022"
16,22200013,1,2715,Eric Lewis,E. Lewis,Eric,Lewis,42,,"October 19, 2022"
17,22200013,1,204058,Gediminas Petraitis,G. Petraitis,Gediminas,Petraitis,50,,"October 19, 2022"
18,22200014,1,2004,Courtney Kirkland,C. Kirkland,Courtney,Kirkland,61,,"October 19, 2022"
19,22200014,1,203593,Justin Van Duyne,J. Van Duyne,Justin,Van Duyne,64,,"October 19, 2022"
20,22200014,1,1627961,Brandon Adair,B. Adair,Brandon,Adair,67,,"October 19, 2022"
21,22200015,2,202058,James Williams,J. Williams,James,Williams,60,,"October 20, 2022"
22,22200015,2,1627962,Jacyn Goble,J. Goble,Jacyn,Goble,68,,"October 20, 2022"
23,22200015,2,1627964,Jonathan Sterling,J. Sterling,Jonathan,Sterling,17,,"October 20, 2022"
24,22200018,4,202049,Ben Taylor,B. Taylor,Ben,Taylor,46,,"October 21, 2022"
25,22200018,4,203591,Mitchell Ervin,M. Ervin,Mitchell,Ervin,27,,"October 21, 2022"
26,22200018,4,1628159,Mousa Dagher,M. Dagher,Mousa,Dagher,28,,"October 21, 2022"
27,22200019,1,2003,Pat Fraher,P. Fraher,Pat,Fraher,26,,"October 21, 2022"
28,22200019,1,101283,Brian Forte,B. Forte,Brian,Forte,45,,"October 21, 2022"
29,22200019,1,1627534,Andy Nagy,A. Nagy,Andy,Nagy,83,,"October 21, 2022"
30,22200021,1,1148,James Capers,J. Capers,James,Capers,19,,"October 21, 2022"
31,22200021,1,1151,Sean Corbin,S. Corbin,Sean,Corbin,33,,"October 21, 2022"
32,22200021,1,1628484,Dannica Mosher,D. Mosher,Dannica,Mosher,89,,"October 21, 2022"
33,22200025,1,1155,JB DeRosa,J. DeRosa,JB,DeRosa,22,,"October 21, 2022"
34,22200025,1,2714,David Guthrie,D. Guthrie,David,Guthrie,16,,"October 21, 2022"
35,22200025,1,1629183,Pat O'Connell,P. O'Connell,Pat,O'Connell,90,,"October 21, 2022"
36,22200026,1,2004,Courtney Kirkland,C. Kirkland,Courtney,Kirkland,61,,"October 21, 2022"
37,22200026,1,204058,Gediminas Petraitis,G. Petraitis,Gediminas,Petraitis,50,,"October 21, 2022"
38,22200026,1,1627961,Brandon Adair,B. Adair,Brandon,Adair,67,,"October 21, 2022"
39,22200027,0,1146,Tony Brothers,T. Brothers,Tony,Brothers,25,,"October 21, 2022"
40,22200027,0,202053,Scott Twardoski,S. Twardoski,Scott,Twardoski,52,,"October 21, 2022"
41,22200027,0,203177,Lauren Holtkamp,L. Holtkamp,Lauren,Holtkamp,7,,"October 21, 2022"
42,22200031,2,204059,Tyler Ford,T. Ford,Tyler,Ford,39,,"October 22, 2022"
43,22200031,2,1627529,Suyash Mehta,S. Mehta,Suyash,Mehta,82,,"October 22, 2022"
44,22200031,2,1627962,Jacyn Goble,J. Goble,Jacyn,Goble,68,,"October 22, 2022"
45,22200035,2,2715,Eric Lewis,E. Lewis,Eric,Lewis,42,,"October 22, 2022"
46,22200035,2,202035,Brett Nansel,B. Nansel,Brett,Nansel,44,,"October 22, 2022"
47,22200035,2,202901,Matt Myers,M. Myers,Matt,Myers,43,,"October 22, 2022"
48,22200036,2,101284,John Goble,J. Goble,John,Goble,10,,"October 22, 2022"
49,22200036,2,204058,Gediminas Petraitis,G. Petraitis,Gediminas,Petraitis,50,,"October 22, 2022"
50,22200036,2,1627526,Matt Kallio,M. Kallio,Matt,Kallio,88,,"October 22, 2022"
51,22200037,4,1204,Derek Richardson,D. Richardson,Derek,Richardson,63,,"October 23, 2022"
52,22200037,4,2005,Matt Boland,M. Boland,Matt,Boland,18,,"October 23, 2022"
53,22200037,4,2530,Ed Malloy,E. Malloy,Ed,Malloy,14,,"October 23, 2022"
54,22200039,2,2714,David Guthrie,D. Guthrie,David,Guthrie,16,,"October 23, 2022"
55,22200039,2,203591,Mitchell Ervin,M. Ervin,Mitchell,Ervin,27,,"October 23, 2022"
56,22200039,2,1627963,Phenizee Ransom,P. Ransom,Phenizee,Ransom,70,,"October 23, 2022"
57,22200040,0,200832,Curtis Blair,C. Blair,Curtis,Blair,74,,"October 23, 2022"
58,22200040,0,1626300,Ray Acosta,R. Acosta,Ray,Acosta,54,,"October 23, 2022"
59,22200040,0,1626301,Jason Goldenberg,J. Goldenberg,Jason,Goldenberg,35,,"October 23, 2022"
60,22200045,0,1146,Tony Brothers,T. Brothers,Tony,Brothers,25,,"October 24, 2022"
61,22200045,0,202027,Tre Maddox,T. Maddox,Tre,Maddox,23,,"October 24, 2022"
62,22200045,0,1628951,John Butler,J. Butler,John,Butler,30,,"October 24, 2022"
63,22200048,0,2715,Eric Lewis,E. Lewis,Eric,Lewis,42,,"October 24, 2022"
64,22200048,0,201638,Brent Barnaky,B. Barnaky,Brent,Barnaky,36,,"October 24, 2022"
65,22200048,0,202901,Matt Myers,M. Myers,Matt,Myers,43,,"October 24, 2022"
66,22200053,2,1198,Scott Wall,S. Wall,Scott,Wall,31,,"October 25, 2022"
67,22200053,2,2003,Pat Fraher,P. Fraher,Pat,Fraher,26,,"October 25, 2022"
68,22200053,2,101283,Brian Forte,B. Forte,Brian,Forte,45,,"October 25, 2022"
69,22200057,2,202049,Ben Taylor,B. Taylor,Ben,Taylor,46,,"October 26, 2022"
70,22200057,2,1627541,Natalie Sago,N. Sago,Natalie,Sago,9,,"October 26, 2022"
