,committingPlayer,decision,callCount
0,Jusuf Nurkic,Incorrect Call,2
1,Jimmy Butler,Incorrect Call,2
2,Shai Gilgeous-Alexander,Incorrect Call,2
3,Kenyon Martin Jr.,Incorrect Call,1
4,Klay Thompson,Incorrect Call,1
5,Lauri Markkanen,Incorrect Call,1
6,LeBron James,Incorrect Call,1
7,Mikal Bridges,Incorrect Call,1
8,Paul George,Incorrect Call,1
9,Al Horford,Incorrect Call,1
10,Josh Green,Incorrect Call,1
11,Russell Westbrook,Incorrect Call,1
12,Saben Lee,Incorrect Call,1
13,Saddiq Bey,Incorrect Call,1
14,Scottie Barnes,Incorrect Call,1
15,T.J. McConnell,Incorrect Call,1
16,Tim Hardaway Jr.,Incorrect Call,1
17,Trae Young,Incorrect Call,1
18,Usman Garuba,Incorrect Call,1
19,Reggie Bullock,Incorrect Call,1
20,Jordan Poole,Incorrect Call,1
21,Anthony Edwards,Incorrect Call,1
22,Joel Embiid,Incorrect Call,1
23,Bennedict Mathurin,Incorrect Call,1
24,Bogdan Bogdanovic,Incorrect Call,1
25,Cameron Payne,Incorrect Call,1
26,Caris LeVert,Incorrect Call,1
27,Christian Wood,Incorrect Call,1
28,D'Angelo Russell,Incorrect Call,1
29,Devonte' Graham,Incorrect Call,1
30,Dillon Brooks,Incorrect Call,1
31,Dorian Finney-Smith,Incorrect Call,1
32,Edmond Sumner,Incorrect Call,1
33,Fred VanVleet,Incorrect Call,1
34,Grant Williams,Incorrect Call,1
35,Grayson Allen,Incorrect Call,1
36,Jalen Brunson,Incorrect Call,1
37,Jalen Johnson,Incorrect Call,1
38,Jalen McDaniels,Incorrect Call,1
39,Jerami Grant,Incorrect Call,1
40,Wesley Matthews,Incorrect Call,1
