,disadvantagedPlayer,decision,callCount
0,Donovan Mitchell,Incorrect Non-Call,6
1,De'Aaron Fox,Incorrect Non-Call,5
2,Shai Gilgeous-Alexander,Incorrect Non-Call,5
3,Lauri Markkanen,Incorrect Non-Call,4
4,Nikola Jokic,Incorrect Non-Call,4
5,Scottie Barnes,Incorrect Non-Call,4
6,DeMar DeRozan,Incorrect Non-Call,4
7,Tyrese Haliburton,Incorrect Non-Call,4
8,Jalen Green,Incorrect Non-Call,3
9,Joel Embiid,Incorrect Non-Call,3
10,Jimmy Butler,Incorrect Non-Call,3
11,Jaylen Brown,Incorrect Non-Call,3
12,Luka Doncic,Incorrect Non-Call,3
13,Keldon Johnson,Incorrect Non-Call,3
14,Jarrett Allen,Incorrect Non-Call,3
15,Kentavious Caldwell-Pope,Incorrect Non-Call,3
16,Giannis Antetokounmpo,Incorrect Non-Call,3
17,Jordan Poole,Incorrect Non-Call,3
18,Bennedict Mathurin,Incorrect Non-Call,3
19,Christian Wood,Incorrect Non-Call,3
20,Kevin Huerter,Incorrect Non-Call,2
21,Julius Randle,Incorrect Non-Call,2
22,Yuta Watanabe,Incorrect Non-Call,2
23,Karl-Anthony Towns,Incorrect Non-Call,2
24,Wenyen Gabriel,Incorrect Non-Call,2
25,Tyrese Maxey,Incorrect Non-Call,2
26,Torrey Craig,Incorrect Non-Call,2
27,Kelly Olynyk,Incorrect Non-Call,2
28,Tim Hardaway Jr.,Incorrect Non-Call,2
29,Kevin Durant,Incorrect Non-Call,2
30,Mitchell Robinson,Incorrect Non-Call,2
31,Terry Rozier,Incorrect Non-Call,2
32,Marcus Morris Sr.,Incorrect Non-Call,2
33,Kyrie Irving,Incorrect Non-Call,2
34,Spencer Dinwiddie,Incorrect Non-Call,2
35,LeBron James,Incorrect Non-Call,2
36,Luguentz Dort,Incorrect Non-Call,2
37,Quentin Grimes,Incorrect Non-Call,2
38,Paolo Banchero,Incorrect Non-Call,2
39,P.J. Washington,Incorrect Non-Call,2
40,Aaron Gordon,Incorrect Non-Call,2
41,Myles Turner,Incorrect Non-Call,2
42,Onyeka Okongwu,Incorrect Non-Call,2
43,Josh Richardson,Incorrect Non-Call,2
44,Domantas Sabonis,Incorrect Non-Call,2
45,Ja Morant,Incorrect Non-Call,2
46,Darius Garland,Incorrect Non-Call,2
47,Damian Lillard,Incorrect Non-Call,2
48,John Collins,Incorrect Non-Call,2
49,Cory Joseph,Incorrect Non-Call,2
50,Dwight Powell,Incorrect Non-Call,2
51,Dyson Daniels,Incorrect Non-Call,2
52,Franz Wagner,Incorrect Non-Call,2
53,Collin Sexton,Incorrect Non-Call,2
54,CJ McCollum,Incorrect Non-Call,2
55,Gordon Hayward,Incorrect Non-Call,2
56,Buddy Hield,Incorrect Non-Call,2
57,De'Anthony Melton,Incorrect Non-Call,2
58,Bojan Bogdanovic,Incorrect Non-Call,2
59,Harrison Barnes,Incorrect Non-Call,2
60,Jaden McDaniels,Incorrect Non-Call,2
61,Jalen Brunson,Incorrect Non-Call,2
62,Anthony Davis,Incorrect Non-Call,2
63,Jayson Tatum,Incorrect Non-Call,2
64,Anthony Edwards,Incorrect Non-Call,2
65,James Harden,Incorrect Non-Call,2
66,Jamal Murray,Incorrect Non-Call,2
67,Bruno Fernando,Incorrect Non-Call,1
68,Bobby Portis,Incorrect Non-Call,1
69,Aaron Wiggins,Incorrect Non-Call,1
70,Daniel Gafford,Incorrect Non-Call,1
71,Alex Caruso,Incorrect Non-Call,1
72,Romeo Langford,Incorrect Non-Call,1
73,Trae Young,Incorrect Non-Call,1
74,Rudy Gobert,Incorrect Non-Call,1
75,Saddiq Bey,Incorrect Non-Call,1
76,Brandon Clarke,Incorrect Non-Call,1
77,Bruce Brown,Incorrect Non-Call,1
78,Walker Kessler,Incorrect Non-Call,1
79,Corey Kispert,Incorrect Non-Call,1
80,Tyler Herro,Incorrect Non-Call,1
81,Tre Jones,Incorrect Non-Call,1
82,Cam Thomas,Incorrect Non-Call,1
83,Steven Adams,Incorrect Non-Call,1
84,Caleb Martin,Incorrect Non-Call,1
85,Anthony Lamb,Incorrect Non-Call,1
86,De'Andre Hunter,Incorrect Non-Call,1
87,Josh Giddey,Incorrect Non-Call,1
88,Payton Pritchard,Incorrect Non-Call,1
89,Deandre Ayton,Incorrect Non-Call,1
90,Justise Winslow,Incorrect Non-Call,1
91,Jusuf Nurkic,Incorrect Non-Call,1
92,Jeff Dowtin Jr.,Incorrect Non-Call,1
93,Jarred Vanderbilt,Incorrect Non-Call,1
94,Kendrick Nunn,Incorrect Non-Call,1
95,Jamal Cain,Incorrect Non-Call,1
96,Jalen Smith,Incorrect Non-Call,1
97,Kristaps Porzingis,Incorrect Non-Call,1
98,Kyle Lowry,Incorrect Non-Call,1
99,Lamar Stevens,Incorrect Non-Call,1
100,Ivica Zubac,Incorrect Non-Call,1
101,Isaac Okoro,Incorrect Non-Call,1
102,Immanuel Quickley,Incorrect Non-Call,1
103,Grant Williams,Incorrect Non-Call,1
104,Malik Monk,Incorrect Non-Call,1
105,Marvin Bagley III,Incorrect Non-Call,1
106,Mason Plumlee,Incorrect Non-Call,1
107,Gabe Vincent,Incorrect Non-Call,1
108,Maxi Kleber,Incorrect Non-Call,1
109,Mikal Bridges,Incorrect Non-Call,1
110,Montrezl Harrell,Incorrect Non-Call,1
111,Nickeil Alexander-Walker,Incorrect Non-Call,1
112,Dorian Finney-Smith,Incorrect Non-Call,1
113,Nikola Vucevic,Incorrect Non-Call,1
114,Dillon Brooks,Incorrect Non-Call,1
115,Dennis Smith Jr.,Incorrect Non-Call,1
116,Dejounte Murray,Incorrect Non-Call,1
117,Zion Williamson,Incorrect Non-Call,1
