,name,teamName,errorsInFavor,totalErrors,errorsAgainst,errorDelta
0,Jacyn Goble,76ers,9,30,4,5
1,Phenizee Ransom,76ers,7,17,2,5
2,Lauren Holtkamp,Kings,7,28,2,5
3,Karl Lane,Cavaliers,7,22,1,6
4,Gediminas Petraitis,Hornets,6,31,1,5
5,Brent Barnaky,Celtics,6,22,4,2
6,Rodney Mott,Celtics,6,20,3,3
7,Matt Boland,Lakers,5,25,1,4
8,Tre Maddox,Lakers,5,15,2,3
9,Josh Tiven,Lakers,5,30,2,3
10,Ben Taylor,Pacers,5,28,5,0
11,Scott Twardoski,Mavericks,5,29,2,3
12,Scott Wall,Knicks,5,19,1,4
13,Matt Myers,Thunder,5,20,1,4
14,Courtney Kirkland,76ers,5,21,2,3
15,Suyash Mehta,Lakers,5,14,2,3
16,Tony Brothers,Raptors,5,24,2,3
17,Aaron Smith,Celtics,5,19,0,5
18,Brent Barnaky,Heat,5,22,1,4
19,David Guthrie,Celtics,5,32,0,5
20,David Guthrie,Magic,5,32,4,1
21,Scott Twardoski,Knicks,4,29,3,1
22,Matt Boland,Celtics,4,25,1,3
23,Curtis Blair,Knicks,4,17,2,2
24,Curtis Blair,Hornets,4,17,1,3
25,Matt Boland,Timberwolves,4,25,4,0
26,Mousa Dagher,Spurs,4,22,2,2
27,Brandon Schwab,Kings,4,11,0,4
28,Jonathan Sterling,Nuggets,4,17,3,1
29,Eric Lewis,Kings,4,20,1,3
30,Mousa Dagher,Pacers,4,22,3,1
31,Gediminas Petraitis,Raptors,4,31,0,4
32,John Conley,Heat,4,9,2,2
33,Courtney Kirkland,Nets,4,21,0,4
34,Gediminas Petraitis,Thunder,4,31,2,2
35,Matt Boland,Mavericks,4,25,3,1
36,Tyler Ford,Nuggets,4,25,3,1
37,John Butler,Celtics,4,25,1,3
38,Matt Myers,Raptors,4,20,0,4
39,John Butler,Mavericks,4,25,2,2
40,James Capers,Mavericks,4,19,2,2
41,James Capers,Suns,4,19,3,1
42,Brian Forte,Pistons,4,21,0,4
43,Zach Zarba,Grizzlies,4,21,3,1
44,Josh Tiven,Knicks,4,30,0,4
45,Josh Tiven,Cavaliers,4,30,2,2
46,Josh Tiven,76ers,4,30,6,-2
