,name,teamName,errorsAgainst,totalErrors,percentErrorsAgainstTeam
0,David Guthrie,Warriors,7,32,21.875
1,Tre Maddox,Mavericks,6,15,40.0
2,Josh Tiven,76ers,6,30,20.0
3,Sean Wright,Nuggets,6,19,31.57894736842105
4,Sean Corbin,Nuggets,6,25,24.0
5,Brent Barnaky,Warriors,5,22,22.727272727272727
6,Josh Tiven,Mavericks,5,30,16.666666666666664
7,Suyash Mehta,Mavericks,5,14,35.714285714285715
8,Ben Taylor,Pacers,5,28,17.857142857142858
9,Ed Malloy,Thunder,5,16,31.25
10,Courtney Kirkland,Pacers,5,21,23.809523809523807
11,Jacyn Goble,Pacers,5,30,16.666666666666664
12,Phenizee Ransom,Pacers,5,17,29.411764705882355
13,Pat Fraher,Kings,5,33,15.151515151515152
14,Pat Fraher,76ers,5,33,15.151515151515152
15,Eric Lewis,Lakers,5,20,25.0
16,Aaron Smith,Warriors,5,19,26.31578947368421
17,Scott Wall,Hornets,4,19,21.052631578947366
18,Matt Myers,Bucks,4,20,20.0
19,Scott Twardoski,Jazz,4,29,13.793103448275861
20,Rodney Mott,Spurs,4,20,20.0
21,Gediminas Petraitis,Pelicans,4,31,12.903225806451612
22,Matt Kallio,Kings,4,15,26.666666666666668
23,Jacyn Goble,76ers,4,30,13.333333333333334
24,Brent Barnaky,Thunder,4,22,18.181818181818183
25,Jacyn Goble,Celtics,4,30,13.333333333333334
26,Jacyn Goble,Cavaliers,4,30,13.333333333333334
27,David Guthrie,Jazz,4,32,12.5
28,Jacyn Goble,Heat,4,30,13.333333333333334
29,Dedric Taylor,Mavericks,4,34,11.76470588235294
30,Brent Barnaky,Celtics,4,22,18.181818181818183
31,Dedric Taylor,Hornets,4,34,11.76470588235294
32,Lauren Holtkamp,Nuggets,4,28,14.285714285714285
33,Lauren Holtkamp,Lakers,4,28,14.285714285714285
34,Courtney Kirkland,Jazz,4,21,19.047619047619047
35,James Capers,Timberwolves,4,19,21.052631578947366
36,Tyler Ford,Pacers,4,25,16.0
37,Tony Brothers,Bucks,4,24,16.666666666666664
38,John Butler,Spurs,4,25,16.0
39,John Butler,Timberwolves,4,25,16.0
40,Justin Van Duyne,Nuggets,4,16,25.0
41,Eric Lewis,Nuggets,4,20,20.0
42,Natalie Sago,Thunder,4,19,21.052631578947366
43,Brandon Schwab,Lakers,4,11,36.36363636363637
44,Nate Green,Heat,4,17,23.52941176470588
45,Matt Boland,Timberwolves,4,25,16.0
46,Gediminas Petraitis,Bucks,4,31,12.903225806451612
47,Matt Boland,Spurs,4,25,16.0
48,Intae Hwang,Hornets,4,6,66.66666666666666
49,Josh Tiven,Raptors,4,30,13.333333333333334
50,David Guthrie,Magic,4,32,12.5
51,David Guthrie,Pistons,4,32,12.5
52,Phenizee Ransom,Hornets,3,17,17.647058823529413
53,Mousa Dagher,Pistons,3,22,13.636363636363635
54,Matt Kallio,Timberwolves,3,15,20.0
55,Matt Kallio,Suns,3,15,20.0
56,Josh Tiven,Timberwolves,3,30,10.0
57,Mousa Dagher,Pacers,3,22,13.636363636363635
58,James Capers,Celtics,3,19,15.789473684210526
59,Aaron Smith,Magic,3,19,15.789473684210526
60,Scott Twardoski,Knicks,3,29,10.344827586206897
61,Scott Twardoski,Hornets,3,29,10.344827586206897
62,Scott Twardoski,Spurs,3,29,10.344827586206897
63,James Capers,Suns,3,19,15.789473684210526
64,Matt Myers,Nuggets,3,20,15.0
65,Courtney Kirkland,Mavericks,3,21,14.285714285714285
66,Jacyn Goble,Rockets,3,30,10.0
67,Leon Wood,Thunder,3,25,12.0
68,Josh Tiven,Spurs,3,30,10.0
69,John Conley,Jazz,3,9,33.33333333333333
70,Zach Zarba,Trail Blazers,3,21,14.285714285714285
71,John Goble,Pacers,3,17,17.647058823529413
72,John Goble,Grizzlies,3,17,17.647058823529413
73,John Goble,Nets,3,17,17.647058823529413
74,Pat O'Connell,Rockets,3,8,37.5
75,Ray Acosta,Celtics,3,14,21.428571428571427
76,Ray Acosta,Mavericks,3,14,21.428571428571427
77,Ray Acosta,Raptors,3,14,21.428571428571427
78,Lauren Holtkamp,Pistons,3,28,10.714285714285714
79,Ed Malloy,Heat,3,16,18.75
80,Ed Malloy,Trail Blazers,3,16,18.75
81,Matt Myers,Pelicans,3,20,15.0
82,Tyler Ford,Heat,3,25,12.0
83,Lauren Holtkamp,Magic,3,28,10.714285714285714
84,Tyler Ford,Nuggets,3,25,12.0
85,Eric Lewis,Mavericks,3,20,15.0
86,Kevin Scott,Suns,3,16,18.75
