,personId,name,nameI,firstName,familyName,jerseyNum,assignment,gameId
0,101283,Brian Forte,B. Forte,Brian,Forte,45  ,,22200741
1,101284,John Goble,J. Goble,John,Goble,10  ,,22200741
2,203592,Dedric Taylor,D. Taylor,Dedric,Taylor,21  ,,22200741
3,2004,Courtney Kirkland,C. Kirkland,Courtney,Kirkland,61  ,,22200743
4,201245,Marat Kogut,M. Kogut,Marat,Kogut,32  ,,22200743
5,1627524,Nate Green,N. Green,Nate,Green,65  ,,22200743
6,200834,Mark Lindsay,M. Lindsay,Mark,Lindsay,29  ,,22200748
7,202035,Brett Nansel,B. Nansel,Brett,Nansel,44  ,,22200748
8,1627963,Phenizee Ransom,P. Ransom,Phenizee,Ransom,70  ,,22200748
9,2715,Eric Lewis,E. Lewis,Eric,Lewis,42  ,,22200749
10,1627534,Andy Nagy,A. Nagy,Andy,Nagy,83  ,,22200749
11,1627962,Jacyn Goble,J. Goble,Jacyn,Goble,68  ,,22200749
12,204059,Tyler Ford,T. Ford,Tyler,Ford,39  ,,22200738
13,1626302,Aaron Smith,A. Smith,Aaron,Smith,51  ,,22200738
14,1628951,John Butler,J. Butler,John,Butler,30  ,,22200738
15,101283,Brian Forte,B. Forte,Brian,Forte,45  ,,22200730
16,202049,Ben Taylor,B. Taylor,Ben,Taylor,46  ,,22200730
17,203592,Dedric Taylor,D. Taylor,Dedric,Taylor,21  ,,22200730
18,1830,Marc Davis,M. Davis,Marc,Davis,8   ,,22200734
19,202027,Tre Maddox,T. Maddox,Tre,Maddox,23  ,,22200734
20,1627961,Brandon Adair,B. Adair,Brandon,Adair,67  ,,22200734
21,1193,Michael Smith,M. Smith,Michael,Smith,38  ,,22200721
22,201639,Josh Tiven,J. Tiven,Josh,Tiven,58  ,,22200721
23,202035,Brett Nansel,B. Nansel,Brett,Nansel,44  ,,22200721
24,1148,James Capers,J. Capers,James,Capers,19  ,,22200725
25,1199,Tom Washington,T. Washington,Tom,Washington,49  ,,22200725
26,202037,J.T. Orr,J. Orr,J.T.,Orr,72  ,,22200725
