,Unnamed: 0,personId,name,nameI,firstName,familyName,jerseyNum,assignment,gameId,gameDate
0,0,101283,Brian Forte,B. Forte,Brian,Forte,45,,22200741,"January 28, 2023"
1,1,101284,John Goble,J. Goble,John,Goble,10,,22200741,"January 28, 2023"
2,2,203592,Dedric Taylor,D. Taylor,Dedric,Taylor,21,,22200741,"January 28, 2023"
3,3,2004,Courtney Kirkland,C. Kirkland,Courtney,Kirkland,61,,22200743,"January 28, 2023"
4,4,201245,Marat Kogut,M. Kogut,Marat,Kogut,32,,22200743,"January 28, 2023"
5,5,1627524,Nate Green,N. Green,Nate,Green,65,,22200743,"January 28, 2023"
6,6,200834,Mark Lindsay,M. Lindsay,Mark,Lindsay,29,,22200748,"January 28, 2023"
7,7,202035,Brett Nansel,B. Nansel,Brett,Nansel,44,,22200748,"January 28, 2023"
8,8,1627963,Phenizee Ransom,P. Ransom,Phenizee,Ransom,70,,22200748,"January 28, 2023"
9,9,2715,Eric Lewis,E. Lewis,Eric,Lewis,42,,22200749,"January 28, 2023"
10,10,1627534,Andy Nagy,A. Nagy,Andy,Nagy,83,,22200749,"January 28, 2023"
11,11,1627962,Jacyn Goble,J. Goble,Jacyn,Goble,68,,22200749,"January 28, 2023"
12,12,204059,Tyler Ford,T. Ford,Tyler,Ford,39,,22200738,"January 27, 2023"
13,13,1626302,Aaron Smith,A. Smith,Aaron,Smith,51,,22200738,"January 27, 2023"
14,14,1628951,John Butler,J. Butler,John,Butler,30,,22200738,"January 27, 2023"
15,15,101283,Brian Forte,B. Forte,Brian,Forte,45,,22200730,"January 26, 2023"
16,16,202049,Ben Taylor,B. Taylor,Ben,Taylor,46,,22200730,"January 26, 2023"
17,17,203592,Dedric Taylor,D. Taylor,Dedric,Taylor,21,,22200730,"January 26, 2023"
18,18,1830,Marc Davis,M. Davis,Marc,Davis,8,,22200734,"January 26, 2023"
19,19,202027,Tre Maddox,T. Maddox,Tre,Maddox,23,,22200734,"January 26, 2023"
20,20,1627961,Brandon Adair,B. Adair,Brandon,Adair,67,,22200734,"January 26, 2023"
21,21,1193,Michael Smith,M. Smith,Michael,Smith,38,,22200721,"January 25, 2023"
22,22,201639,Josh Tiven,J. Tiven,Josh,Tiven,58,,22200721,"January 25, 2023"
23,23,202035,Brett Nansel,B. Nansel,Brett,Nansel,44,,22200721,"January 25, 2023"
24,24,1148,James Capers,J. Capers,James,Capers,19,,22200725,"January 25, 2023"
25,25,1199,Tom Washington,T. Washington,Tom,Washington,49,,22200725,"January 25, 2023"
26,26,202037,J.T. Orr,J. Orr,J.T.,Orr,72,,22200725,"January 25, 2023"
27,27,2005,Matt Boland,M. Boland,Matt,Boland,18,,22200726,"January 25, 2023"
28,28,2882,Sean Wright,S. Wright,Sean,Wright,4,,22200726,"January 25, 2023"
29,29,204058,Gediminas Petraitis,G. Petraitis,Gediminas,Petraitis,50,,22200726,"January 25, 2023"
30,30,200834,Mark Lindsay,M. Lindsay,Mark,Lindsay,29,,22200713,"January 24, 2023"
31,31,1626302,Aaron Smith,A. Smith,Aaron,Smith,51,,22200713,"January 24, 2023"
32,32,1627529,Suyash Mehta,S. Mehta,Suyash,Mehta,82,,22200713,"January 24, 2023"
33,33,2003,Pat Fraher,P. Fraher,Pat,Fraher,26,,22200714,"January 24, 2023"
34,34,202026,Karl Lane,K. Lane,Karl,Lane,77,,22200714,"January 24, 2023"
35,35,202901,Matt Myers,M. Myers,Matt,Myers,43,,22200714,"January 24, 2023"
36,36,1198,Scott Wall,S. Wall,Scott,Wall,31,,22200715,"January 24, 2023"
37,37,1662,Bill Kennedy,B. Kennedy,Bill,Kennedy,55,,22200715,"January 24, 2023"
38,38,1627962,Jacyn Goble,J. Goble,Jacyn,Goble,68,,22200715,"January 24, 2023"
39,39,1151,Sean Corbin,S. Corbin,Sean,Corbin,33,,22200716,"January 24, 2023"
40,40,2715,Eric Lewis,E. Lewis,Eric,Lewis,42,,22200716,"January 24, 2023"
41,41,203177,Lauren Holtkamp,L. Holtkamp,Lauren,Holtkamp,7,,22200716,"January 24, 2023"
42,42,2004,Courtney Kirkland,C. Kirkland,Courtney,Kirkland,61,,22200717,"January 24, 2023"
43,43,1627541,Natalie Sago,N. Sago,Natalie,Sago,9,,22200717,"January 24, 2023"
44,44,1628484,Dannica Mosher,D. Mosher,Dannica,Mosher,89,,22200717,"January 24, 2023"
45,45,1830,Marc Davis,M. Davis,Marc,Davis,8,,22200709,"January 23, 2023"
46,46,1628480,Robert Hussey,R. Hussey,Robert,Hussey,85,,22200709,"January 23, 2023"
47,47,1628953,Ashley Moyer-Gleich,A. Moyer-Gleich,Ashley,Moyer-Gleich,13,,22200709,"January 23, 2023"
48,48,1662,Bill Kennedy,B. Kennedy,Bill,Kennedy,55,,22200699,"January 22, 2023"
49,49,2002,Derrick Collins,D. Collins,Derrick,Collins,11,,22200699,"January 22, 2023"
50,50,1627961,Brandon Adair,B. Adair,Brandon,Adair,67,,22200699,"January 22, 2023"
51,51,2882,Sean Wright,S. Wright,Sean,Wright,4,,22200702,"January 22, 2023"
52,52,203593,Justin Van Duyne,J. Van Duyne,Justin,Van Duyne,64,,22200702,"January 22, 2023"
53,53,1628951,John Butler,J. Butler,John,Butler,30,,22200702,"January 22, 2023"
54,54,1146,Tony Brothers,T. Brothers,Tony,Brothers,25,,22200703,"January 22, 2023"
55,55,202053,Scott Twardoski,S. Twardoski,Scott,Twardoski,52,,22200703,"January 22, 2023"
56,56,203177,Lauren Holtkamp,L. Holtkamp,Lauren,Holtkamp,7,,22200703,"January 22, 2023"
57,57,101283,Brian Forte,B. Forte,Brian,Forte,45,,22200704,"January 22, 2023"
